SequencingId	SampleId	Replicate
BE_W1_Rep3	be_w1	1
BE_W1_Rep4	be_w1	2
BE_W2_Rep1	be_w2	1
BE_W3_Rep1	be_w3	1
BE_W3_Rep2	be_w3	2
BE_W_R1	be_w1	1
BE_W_R2	be_w1	2
BLVU_10-10_Adams_R2	blvu_adams	2
BLVU_10-28-Berks_R1	blvu_berks	1
BLVU_10-28-Berks_R2	blvu_berks	2
BLVU_19-19-Chester_R1	blvu_chester	1
BLVU_19-19-Chester_R2	blvu_chester	2
BO_W1_Rep1	bo_w1	1
BO_W1_Rep2	bo_w1	2
BV_W1_R1	bv_w1	1
BV_W1_R2	bv_w1	2
BV_W2_R1	bv_w2	1
BV_W2_R2	bv_w2	2
BV_W2_Rep3	bv_w2	1
BV_W3_Rep1	bv_w3	1
BV_W3_Rep2	bv_w3	2
BV_W4_Rep1	bv_w4	1
BV_W4_Rep2	bv_w4	2
BV_W5_Rep1	bv_w5	1
BV_W6_Rep1	bv_w6	1
BV_W6_Rep2	bv_w6	2
BV_W7_Rep1	bv_w7	1
BV_W7_Rep2	bv_w7	2
BV_W8_Rep1	bv_w8	1
BV_W8_Rep2	bv_w8	2
CB_com1_R1	cb_com1	1
CB_com1_R2	cb_com1	2
CB_com2_R1	cb_com2	1
CB_com2_R2	cb_com2	2
CB_com3_Rep1	cb_com3	1
CB_com3_Rep2	cb_com3	2
CB_Com3_Rep3	cb_com3	1
CB_com4_Rep1	cb_com4	1
CB_com4_Rep2	cb_com4	2
CB_Com4_Rep3	cb_com4	1
CG_W1_Rep1	cg_w1	1
CG_W1_Rep2	cg_w1	2
CG_W2_Rep1	cg_w2	1
CG_W2_Rep2	cg_w2	2
CL_C1_Rep1	cl_c1	1
CL_C2_Rep1	cl_c2	1
F_W1_Rep1	f_w1	1
F_W1_Rep2	f_w1	2
G_com1_Rep1	g_com1	1
G_com1_Rep2	g_com1	2
G_Com1_Rep3	g_com1	1
G_Com1_Rep4	g_com1	2
G_com2_Rep1	g_com2	1
G_com2_Rep2	g_com2	2
G_Com2_Rep3	g_com2	1
G_Com2_Rep4	g_com2	2
GF_W1_Rep3	gf_w1	1
GF_W1_Rep4	gf_w1	2
GF_W2_Rep1	gf_w2	1
GF_W2_Rep2	gf_w2	2
GF_W3_Rep1	gf_w3	1
GF_W3_Rep2	gf_w3	2
GF_W_R1	gf_w1	1
GF_W_R2	gf_w1	2
KC_com1_R1	kc_com1	1
KC_com1_R2	kc_com1	2
KC_com2_R1	kc_com2	1
KC_com2_R2	kc_com2	2
KC_com3_Rep1	kc_com3	1
KC_com3_Rep2	kc_com3	2
KC_com4_Rep1	kc_com4	1
KC_com4_Rep2	kc_com4	2
KC_Com4_Rep3	kc_com4	1
KC_com5_Rep1	kc_com5	1
KC_com5_Rep2	kc_com5	2
KC_com6_Rep1	kc_com6	1
KC_com6_Rep2	kc_com6	2
KC_Com6_Rep3	kc_com6	1
KC_com7_Rep1	kc_com7	1
KC_com7_Rep2	kc_com7	2
KC_Com7_Rep3	kc_com7	1
KC_Com7_Rep4	kc_com7	2
KC_com8_Rep1	kc_com8	1
KC_com8_Rep2	kc_com8	2
MS_W1-R4	ms_w1	2
MS_W1_R1	ms_w1	1
MS_W1_R2	ms_w1	2
MS_W1_Rep3	ms_w1	1
MS_W2_Rep1	ms_w2	1
MS_W2_Rep2	ms_w2	2
RF_W1_Rep1	rf_w1	1
RTH_W1_Rep1	rth_w1	1
RTH_W1_Rep2	rth_w1	2
RTH_W2_Rep1	rth_w2	1
RTH_W2_Rep2	rth_w2	2
RTH_W3_Rep1	rth_w3	1
RTH_W3_Rep2	rth_w3	2
TV_W1_R1	tv_w1	1
TV_W1_R2	tv_w1	2
WWS_W1_Rep1	wws_w1	1
WWS_W1_Rep2	wws_w1	2
