SequencingId	SampleId	Replicate
C1	c1	1
C10	c10	1
C10_seq2	c10	2
C11	c11	1
C11_seq2	c11	2
C12	c12	1
C12_seq2	c12	2
C13	c13	1
C13_seq2	c13	2
C14	c14	1
C14_seq2	c14	2
C15	c15	1
C15_seq2	c15	2
C16	c16	1
C16_seq2	c16	2
C17	c17	1
C17_seq2	c17	2
C18	c18	1
C18_seq2	c18	2
C19	c19	1
C19_seq2	c19	2
C1_seq2	c1	2
C2	c2	1
C20_seq1	c20	1
C20_seq2	c20	2
C21	c21	1
C21_seq2	c21	2
C2_seq2	c2	2
C3	c3	1
C3_seq2	c3	2
C4	c4	1
C4_seq2	c4	2
C5	c5	1
C5_seq2	c5	2
C6	c6	1
C6_seq2	c6	2
C7	c7	1
C7_seq2	c7	2
C8	c8	1
C8_seq2	c8	2
C9	c9	1
C9_seq2	c9	2
